"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
reason_not_enrolling,enrolment_checklist,,text,"Reason for not enrolling",,,,,,,"[enr_aou_done] = '0' or [enr_icf_copy] = '0' or [enr_icf_quality_control] = '0' or [enr_icf_language] = '0' or [enr_icf_completed] = '0'",,,,,,
scr_consent_warning_text,screening_consent,,descriptive,"<font size=""8"" color=""red"">This form must be completed as a survey form to use the e-consent process. Use the survey options dropdown at the top of this form to launch this page as a survey form</font>",,,,,,,"[is-form] = 1",,,,,,
scr_consent_info,screening_consent,"Research Project Information",descriptive,"<font size=""6"">Research project information</font>
In hac habitasse platea dictumst. Proin scelerisque bibendum enim, in tempus urna luctus at. Morbi pretium massa et ante tempor porta. Morbi pretium volutpat leo, et pharetra tortor sagittis sit amet. Nam sagittis ex a mauris sollicitudin scelerisque. ",,,,,,,,,,,,,@readonly
scr_consent_date,screening_consent,,text,"Date of screening consent",,,date_dmy,,,,,,,,,,
scr_consent_start_time,screening_consent,,text,"Start time of screening consent",,,time,,,,,,,,,,
notes2,screening_consent,,descriptive,"<font size=""3"" color=""blue"">Add relevant screening consent questions below</font>",,,,,,,,,,,,,@readonly
scr_consent_q1,screening_consent,,yesno,"Q1
<i>Screening question</i>",,,,,,,,,LH,Q1,,,
scr_consent_q2,screening_consent,,yesno,"Q2
<i>Screening question</i>",,,,,,,,,LH,Q2,,,
scr_consent_q3,screening_consent,,yesno,"Q3
<i>Screening question</i>",,,,,,,,,LH,Q3,,,
scr_consent_confirmation,screening_consent,,checkbox,"Participant confirmation","1, I understand that signing this form electronically is the equivalent of signing a physical document",,,,,,,y,LH,,,,
scr_consent_part_name,screening_consent,,text,"Participant full name
<i>as on SA ID</i>",,,,,,,,,,,,,
scr_thumbprint_needed,screening_consent,,yesno,"Thumbprint needed",,,,,,,,,,,,,
scr_consent_part_thumb,screening_consent,,file,"Participant thumbprint",,,,,,,"[scr_thumbprint_needed] = '1'",y,,,,,
scr_consent_part_signature,screening_consent,,file,"Participant signature",,,signature,,,y,"[scr_thumbprint_needed] = '0'",y,LH,,,,
scr_consent_witness_name,screening_consent,,text,"Witness full name
<i>as on ID</i>",,,,,,,"[literacy_impartial_witness] = '1'",,LH,,,,
scr_consent_witness_sig,screening_consent,,file,"Witness signature",,,signature,,,,"[literacy_impartial_witness] = '1'",y,LH,,,,
scr_consent_end_time,screening_consent,,text,"End time of consent",,,time,,,,,,,,,,
scr_staff_name,screening_consent,"Staff member administering consent",text,"Staff member 
<i>Full Name</i>",,,,,,,,,,,,,
scr_staff_member_signature,screening_consent,,file,"Staff member signature",,,signature,,,,,,,,,,
consent_warning_text,main_consent,,descriptive,"<font size=""8"" color=""red"">This form must be completed as a survey form to use the e-consent process. Use the survey options dropdown at the top of this form to launch this page as a survey form</font>",,,,,,,"[is-form] = 1",,,,,,
consent_info_1,main_consent,"Research Project information",descriptive,"<font size=""6"">Who are we?</font>
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam accumsan iaculis quam, a placerat justo ultrices ut. Curabitur libero mi, aliquam sit amet maximus ut, suscipit bibendum dui. ",,,,,,,,,,,,,@readonly
consent_info_2,main_consent,,descriptive,"<font size=""6"">Why are we doing this study?</font>
Ut quam leo, consectetur nec sem sed, suscipit tincidunt nisl. Quisque condimentum bibendum semper. ",,,,,,,,,,,,,@readonly
consent_info_3,main_consent,,descriptive,"<font size=""6"">How many people will take part in the study?</font>
Sed ut venenatis lorem, et rutrum nunc. Nam vel accumsan elit, sed eleifend massa. Curabitur molestie erat eget nisl interdum vulputate. ",,,,,,,,,,,,,@readonly
consent_info_4,main_consent,,descriptive,"<font size=""6"">How long will the study last?</font>
Morbi a arcu est. Etiam ac elementum magna. Donec vitae neque id leo condimentum lobortis. In augue ligula, porttitor ut ligula a, egestas pharetra leo",,,,,,,,,,,,,@readonly
consent_info_5,main_consent,,descriptive,"<font size=""6"">What do we do to decide if you are eligible to be take part?</font>
Vivamus non euismod quam. Duis egestas, lacus at bibendum ornare, nisi risus tempus nulla, a semper dolor tellus eget enim. Phasellus auctor quam eget felis convallis, et porttitor urna euismod. Donec quis justo in augue auctor mollis.",,,,,,,,,,,,,@readonly
consent_info_6,main_consent,,descriptive,"<font size=""6"">What will happen if you decide to take part in the study?</font>
Fusce ex odio, ullamcorper vehicula pretium sit amet, placerat vitae dolor. Aliquam finibus aliquet leo in commodo. Curabitur iaculis nisi eget ipsum posuere, quis rhoncus nunc malesuada. Phasellus consequat lectus vitae ligula accumsan tristique. ",,,,,,,,,,,,,@readonly
consent_info_7,main_consent,,descriptive,"<font size=""6""> What will we ask for? </font>
Fusce malesuada tortor nec ex consequat consectetur. Donec facilisis nulla sapien, at commodo nisi sagittis non. Fusce sed est aliquet, elementum nibh in, venenatis quam. ",,,,,,,,,,,,,@readonly
consent_info_8,main_consent,,descriptive,"<font size=""6""> What are the risks? </font>
Fusce malesuada tortor nec ex consequat consectetur. Aenean ullamcorper quam et libero venenatis pharetra. Etiam dictum mauris dignissim ipsum hendrerit maximus. ",,,,,,,,,,,,,@readonly
consent_info_9,main_consent,,descriptive,"<font size=""6""> What happens if I get hurt taking part in this study?</font>
Duis risus felis, maximus id urna eu, egestas bibendum orci. Pellentesque sem massa, porttitor a orci sit amet, consectetur imperdiet odio. Vestibulum sed condimentum justo. Vivamus nec eros sit amet sapien semper ullamcorper vel in elit. 
",,,,,,,,,,,,,@readonly
consent_info_10,main_consent,,descriptive,"<font size=""6"">Are there any benefits to you for being in the study?</font>
Maecenas blandit magna et sagittis scelerisque. Nunc bibendum libero sit amet pellentesque porta. Donec cursus accumsan erat, nec pretium lacus porta non. In posuere libero in velit tincidunt varius",,,,,,,,,,,,,@readonly
consent_info_11,main_consent,,descriptive,"<font size=""6"">What other choices do you have?</font>
Donec facilisis nulla sapien, at commodo nisi sagittis non. Fusce sed est aliquet, elementum nibh in, venenatis quam. Ut commodo libero eget metus blandit, in consequat lacus varius. Ut pharetra velit libero, id eleifend quam vehicula quis. ",,,,,,,,,,,,,@readonly
consent_info_12,main_consent,,descriptive,"<font size=""6"">What will happen when the study is over?</font>
Etiam rutrum sodales consequat. Phasellus a risus convallis, finibus velit id, accumsan ligula. Morbi a odio quis mauris iaculis tincidunt non ut diam. Aliquam ultrices sem id felis ultricies porta.",,,,,,,,,,,,,@readonly
consent_info_13,main_consent,,descriptive,"<font size=""6"">Will your test results be shared with you? </font>
Ut convallis sem et eros interdum, sit amet convallis libero tincidunt. Fusce faucibus erat eget volutpat dictum. ",,,,,,,,,,,,,@readonly
consent_info_14,main_consent,,descriptive,"<font size=""6"">Will the results of the research be shared with you?</font>
Cras ac metus sapien. Integer fermentum sit amet nulla et imperdiet. Duis id finibus ante, lobortis scelerisque ligula. Suspendisse nunc ex, placerat et ultrices scelerisque, mollis eu orci. Nam quis nibh rutrum enim dapibus sollicitudin in sit amet urna. Cras tincidunt a leo sit amet venenatis. Ut vitae turpis metus. ",,,,,,,,,,,,,@readonly
consent_info_15,main_consent,,descriptive,"<font size=""6"">What will we do with your data and samples? </font>
Quisque fermentum sit amet est in rhoncus. Sed laoreet magna quis massa fringilla, non dictum nunc euismod. Vivamus lorem lorem, volutpat eu quam sed, interdum ultricies diam. Integer a feugiat sem. ",,,,,,,,,,,,,@readonly
consent_info_16,main_consent,,descriptive,"<font size=""6"">Will any of your blood, tissue or other samples be stored and used for research in the future?</font>
Vestibulum luctus lectus ac nunc tempor, a vestibulum sem aliquam. In hendrerit ultrices lorem, ut auctor ligula gravida sed. Vivamus eu elit posuere, elementum nibh ac, tempus lorem. ",,,,,,,,,,,,,@readonly
consent_info_17,main_consent,,descriptive,"<font size=""6"">Will you receive any reward (money or food vouchers) for taking part in this study?</font>
Vivamus lorem lorem, volutpat eu quam sed, interdum ultricies diam. Integer a feugiat sem. Aenean ullamcorper quam et libero venenatis pharetra. ",,,,,,,,,,,,,@readonly
consent_info_18,main_consent,,descriptive,"<font size=""6"">Who will see the information which is collected about you during the study?</font>
Ut quam leo, consectetur nec sem sed, suscipit tincidunt nisl. Quisque condimentum bibendum semper. Phasellus auctor quam eget felis convallis, et porttitor urna euismod. Donec quis justo in augue auctor mollis.",,,,,,,,,,,,,@readonly
consent_info_19,main_consent,,descriptive,"<font size=""6"">How will we protect your information? </font>
Quisque fermentum sit amet est in rhoncus. Sed laoreet magna quis massa fringilla, non dictum nunc euismod. Morbi ut nibh fermentum, luctus est sit amet, tristique mi. Aenean facilisis purus id lobortis euismod. ",,,,,,,,,,,,,@readonly
consent_info_20,main_consent,,descriptive,"<font size=""6"">What to do if you have questions or change your mind about being in the study. </font>
In hac habitasse platea dictumst. Proin scelerisque bibendum enim, in tempus urna luctus at. Morbi pretium massa et ante tempor porta. Morbi pretium volutpat leo, et pharetra tortor sagittis sit amet. Nam sagittis ex a mauris sollicitudin scelerisque. ",,,,,,,,,,,,,@readonly
consent_date,main_consent,"Page 1",text,"Date of consent",,,date_dmy,,,,,,,,,,
consent_start_time,main_consent,,text,"Start time of consent",,,time,,,,,,,,,,
consent_1,main_consent,,yesno,"Do you agree for us to collect these body fluid samples and your health information for this study we have described about how genes might affect [specific health phenotype]?",,,,,,,,,LH,Q1,,,
consent_2,main_consent,,yesno,"Do you agree for us to use your genetic samples together with your health information for other studies in the future that want to study the effect of genes on [specific health phenotype]?",,,,,,,,,LH,Q2,,,
consent_3,main_consent,,yesno,"Do you agree for us to use your genetic samples together with your health information for other studies in the future to study the effect of genes on other conditions or biological processes?",,,,,,,,,LH,Q3,,,
consent_4,main_consent,,yesno,"Sometimes researchers combine the genetic information from everyone in the study and provide a summary of genetic data for the whole group. Do you agree for us to use your information when providing combined information about the whole research group (x total individuals in this study)?",,,,,,,,,LH,Q4,,,
consent_5,main_consent,,yesno,"Sometimes what we find from a study like this might lead to new studies being done in the future. Can other researchers contact you in the future to invite you to take part in other research studies?",,,,,,,,,LH,Q5,,,
consent_5a,main_consent,,dropdown,"How would you like to be contacted?","1, Telephone | 2, Letter | 3, Visit",,,,,,"[consent_5] = '1'",,,,,,
consent_6,main_consent,,yesno,"In this study we hope to identify genetic factors that mean someone is more likely to [outcome, such as susceptibility to a disease]. If someone has this genetic factor there is [no treatment/we recommend X treatment]. If we find during this study that you have this kind of genetic factor would you like us to tell you this information?",,,,,,,,,LH,Q6,,,
consent_7_descriptive,main_consent,"Page 2",descriptive,"Sometimes what we find from our research might include new information about your health. Would you like us to contact you again if we believe we have new information that may directly affect your health...",,,,,,,,,,,,,@readonly
consent_7a,main_consent,,yesno," - if there is some kind of action or treatment that might be able to help you with the health issue?",,,,,,,,,LH,Q7a,,,
consent_7b,main_consent,,yesno," - if there is NO kind of action or treatment that might be able to help you with the health issue?",,,,,,,,,LH,Q7b,,,
consent_confirmation,main_consent,,checkbox,"Participant confirmation","1, I understand that signing this form electronically is the equivalent of signing a physical document",,,,,,,y,LH,,,,
partcipant_full_name,main_consent,,text,"Participant full name
<i>as on ID</i>",,,,,,,,,,,,,
consent_thumbprint_req,main_consent,,yesno,"Thumbprint required",,,,,,,,,,,,,
consent_partic_thumbprint,main_consent,,file,"Participant thumbprint",,,,,,,"[consent_thumbprint_req] = '1'",,,,,,
participant_signature,main_consent,,file,"Participant signature",,,signature,,,y,"[consent_thumbprint_req] = '0'",y,LH,,,,
consent_witness_name,main_consent,,text,"Witness full name
<i>as on ID</i>",,,,,,,"[literacy_impartial_witness] = '1'",,LH,,,,
consent_witness_signature,main_consent,,file,"Witness signature",,,signature,,,,"[literacy_impartial_witness] = '1'",,LH,,,,
consent_end_time,main_consent,,text,"End time of consent",,,time,,,,,,,,,,
consent_staff_name,main_consent,"Staff member administering consent",text,"Staff member
<i>Full Name</i>",,,,,,,,,,,,,
consent_staff_signature,main_consent,,file,"Staff member signature",,,signature,,,,,,,,,,
first_name,participant_information,"Participant information",text,"First Name",,,,,,y,,,,,,,
other_names,participant_information,,text,"Other names",,,,,,,,,,,,,
last_name,participant_information,,text,"Last name",,,,,,y,,,,,,,
dob,participant_information,,text,"Date of birth",,,date_dmy,,,y,,,,,,,
age,participant_information,,calc,Age,"rounddown(datediff('today',[dob],'y','dmy'))",Calculated,,,,,,,,,,,@readonly
nationality,participant_information,,radio,Nationality,"1, South African | 99, Other",,,,,,,,,,,,
nationality_specify,participant_information,,text,"Specify nationality",,,,,,,"[nationality] = '99'",,,,,,
rsa_id,participant_information,,text,"RSA ID",,,number,,,y,"[nationality] = '1'",,,,,,
medical_record_number,participant_information,,text,"Medical record number",,,,,,y,,,,,,,
sex,participant_information,,dropdown,"Were you born male or female?","1, Male | 2, Female | 90, Rather not say | 99, Other",,,,,,,,,,,,
notes3,participant_information,,descriptive,"<font size=""3"" color=""blue"">Add relevant questions for this section</font>",,,,,,,,,,,,,@readonly
religion,participant_information,,text,"Which religion do you observe?",,,,,,,,,,,,,
marital_status,participant_information,,dropdown,"Marital status","1, Single (never married) | 2, Married | 3, Living together | 4, Divorced | 5, Widowed | 90, Rather not say",,,,,,,,,,,,
highest_level_education,participant_information,,dropdown,"What is your highest level of education?","1, Did not finish school | 2, Primary school | 3, High school without Matric | 4, Matric/Grade 12 | 5, Some college | 6, Diploma | 7, Degree",,,,,,,,,,,,
employment_status,participant_information,,dropdown,"Are you employed?","1, Yes | 0, No | 3, Unable to work",,,,,,,,,,,,
employment_type,participant_information,,text,"What kind of work do you do?",,,,,,,"[employment_status] = '1'",,,,,,
worked_mine,participant_information,,yesno,"Have you ever worked in a mine?",,,,,,,"[employment_status] = '1'",,,,,,
avg_income,participant_information,,dropdown,"What is your average income per month? 
","1, Less than R1000 per month | 2, R1000 - R5000 per month | 3, R5000 - R10 000 per month | 4, More than R10 000 per month | 90, Rather not say",,,,,,,,,,,,
social_grant,participant_information,,yesno,"Do you receive a social grant/s?",,,,,,,,,,,,,
prison,participant_information,,yesno,"Have you ever been in prison?",,,,,,,,,,,,,
hh_info_required,participant_information,"Household information",yesno,"Click Yes to capture information about the participant's household, otherwise click No.",,,,,,,,,,,,,
hh_id,participant_information,,text,"Household ID",,"For grouping purposes only",,,,,"[hh_info_required] = '1'",,,,,,
hh_setting,participant_information,,dropdown,"Is your home situated in a rural or urban setting?","1, Urban | 2, Rural",,,,,,"[hh_info_required] = '1'",,,,,,
housing_type,participant_information,,dropdown,"Type of housing","1, Formal (brick) | 2, Informal (shack) | 3, Wendy house/ bungalow | 4, Shelter | 5, No housing",,,,,,"[hh_info_required] = '1'",,,,,,
hh_size,participant_information,,text,"Number of people in home",,,number,,,,"[hh_info_required] = '1'",,,,,,
hh_num_adults,participant_information,,text,"Number of adults",,,number,,,,"[hh_info_required] = '1'",,,,,,
hh_num_children,participant_information,,text,"Number of children",,,number,,,,"[hh_info_required] = '1'",,,,,,
hh_amenities,participant_information,,checkbox,"Household amenities","1, Electricity | 2, Electric stove | 3, Paraffin or gas stove | 4, Fireplace | 5, Wood stove | 6, Inside tap | 7, Outside tap | 8, Inside toilet | 9, Outside toilet | 10, Bucket system",,,,,,"[hh_info_required] = '1'",,,,,,
hh_avg_income,participant_information,,dropdown,"What is the average household income per month? 
","1, Less than R1000 per month | 2, R1000 - R5000 per month | 3, R5000 - R10000 per month | 4, R10000 - R15 000 per month | 5, More than R15 000 per month | 90, Rather not say",,,,,,"[hh_info_required] = '1'",,,,,,
street_address,participant_tracking_information,"Tracking information",notes,"Street address",,,,,,,,,LV,,,,
closest_landmark,participant_tracking_information,,text,"Closest landmark",,,,,,,,,,,,,
home_phone,participant_tracking_information,,text,"Home phone",,,number,,,,,,,,,,
work_phone,participant_tracking_information,,text,"Work phone",,,,,,,,,,,,,
cell_phone,participant_tracking_information,,text,"Cell phone",,,,,,,,,,,,,
alt_contacts_consent,participant_tracking_information,"Alternate contact details",yesno,"Consent obtained to use alternative contact/s",,,,,,,,,,,,,
alt_contact_1,participant_tracking_information,,text,"Alternate contact 1
",,"Full name",,,,,"[alt_contacts_consent] = '1'",,,,,,
alt_contact_1_number,participant_tracking_information,,text,"Alternative contact 1 number",,,number,,,,"[alt_contacts_consent] = '1'",,,,,,
alt_contact_2,participant_tracking_information,,text,"Alternate contact 2
",,"Full name",,,,,"[alt_contacts_consent] = '1'",,,,,,
alt_contact_2_number,participant_tracking_information,,text,"Alternative contact 2 number",,,number,,,,"[alt_contacts_consent] = '1'",,,,,,
alt_contact_3,participant_tracking_information,,text,"Alternate contact 3
",,"Full name",,,,,"[alt_contacts_consent] = '1'",,,,,,
alt_contact_3_number,participant_tracking_information,,text,"Alternative contact 3 number",,,number,,,,"[alt_contacts_consent] = '1'",,,,,,
alt_contact_4,participant_tracking_information,,text,"Alternate contact 4
",,"Full name",,,,,"[alt_contacts_consent] = '1'",,,,,,
alt_contact_4_number,participant_tracking_information,,text,"Alternative contact 4 number",,,number,,,,"[alt_contacts_consent] = '1'",,,,,,
alt_contact_5,participant_tracking_information,,text,"Alternate contact 5
",,"Full name",,,,,"[alt_contacts_consent] = '1'",,,,,,
alt_contact_5_number,participant_tracking_information,,text,"Alternative contact 5 number",,,number,,,,"[alt_contacts_consent] = '1'",,,,,,
visit_completed,visit_information,"Visit information",yesno,"Visit completed",,,,,,,,,,,,,
vist_not_com_reason,visit_information,,dropdown,"Reason why not completed","1, Time constraint | 2, Outstanding procedures | 3, Missed visit",,,,,,,,,,,,
why_visit_missed,visit_information,,dropdown,"Reason why visit missed","1, Unable to schedule an agreed date|2, Unable to attend due to family responsibility|3, Participant lost to follow-up|4, Participant away from home|5, Participant hospitalized|6, Participant too ill to attend|7, Participant not reachable|8, Participant lacking transportation means|9, Participant incarcerated|10, Participant suffering from drug side effects|11, Participant died|99, Other",,,,,,"[vist_not_com_reason] = '3'",,,,,,
notes5,visit_information,,descriptive,"<font size=""3"" color=""blue"">Can also use SOE if its not too lengthy</font>",,,,,,,,,,,,,@readonly
visit_type,visit_information,,dropdown,"Visit type","1, Baseline|2, Follow-up|3, Unscheduled|4, Pharmacokinetic procedure|5, Telephonic",,,,,,"[visit_completed] = '1'",,,,,,
reason_for_unscheduled,visit_information,,text,"Reason for unscheduled visit",,,,,,,"[visit_type] = '3'",,,,,,
visit_date,visit_information,,text,"Visit date",,,date_dmy,,,,"[visit_completed] = '1'",,,,,,
visit_time,visit_information,,text,"Visit Time",,,time,,,,"[visit_completed] = '1'",,,,,,
randomization_date,randomization,Randomization,text,"Randomization date",,,date_dmy,,,,,,,,,,
notes4,randomization,,descriptive,"<font size=""3"" color=""blue"">Randomization should be set-up before the project goes into production. Statistician/Data manager should create allocation tables in cases of blinded studies. Placeholders have been set below for the button and arm allocation.</font>",,,,,,,,,,,,,@readonly
randomize,randomization,,text,Randomize,,Button,,,,,,,,,,,
arm_allocation,randomization,,dropdown,"Arm allocation","1, A | 2, B | 3, C | 4, D",,,,,,,,,,,,
cough,tb_symptoms,"TB symptoms",radio,Cough,"1, Yes|0, No",,,,,,,,,,tb_symptoms,,
chest_pain,tb_symptoms,,radio,"Chest pain","1, Yes|0, No",,,,,,,,,,tb_symptoms,,
dyspnea,tb_symptoms,,radio,Dyspnea,"1, Yes|0, No",,,,,,,,,,tb_symptoms,,
fever,tb_symptoms,,radio,Fever,"1, Yes|0, No",,,,,,,,,,tb_symptoms,,
headache,tb_symptoms,,radio,Headache,"1, Yes|0, No",,,,,,,,,,tb_symptoms,,
hemoptysis,tb_symptoms,,radio,Hemoptysis,"1, Yes|0, No",,,,,,,,,,tb_symptoms,,
loss_of_appetite,tb_symptoms,,radio,"Loss of appetite","1, Yes|0, No",,,,,,,,,,tb_symptoms,,
malaise_fatigue,tb_symptoms,,radio,"Malaise/ Fatigue","1, Yes|0, No",,,,,,,,,,tb_symptoms,,
night_sweats,tb_symptoms,,radio,"Night Sweats","1, Yes|0, No",,,,,,,,,,tb_symptoms,,
photophobia,tb_symptoms,,radio,Photophobia,"1, Yes|0, No",,,,,,,,,,tb_symptoms,,
sputum_production,tb_symptoms,,radio,"Sputum production","1, Yes|0, No",,,,,,,,,,tb_symptoms,,
unintentional_weight_loss,tb_symptoms,,radio,"Unintentional weight loss","1, Yes|0, No",,,,,,,,,,tb_symptoms,,
vomiting,tb_symptoms,,radio,Vomiting,"1, Yes|0, No",,,,,,,,,,tb_symptoms,,
prev_tb,tb_history,"Previous TB history",yesno,"Did you have TB before?",,,,,,,,,,,,,
no_prev_tb_episodes,tb_history,,text,"Number of previous episodes",,,number,,,,"[prev_tb] = '1'",,,,,,
site_prev_tb,tb_history,,checkbox,"Site of previous TB episode","1, Pulmonary TB | 2, Extra pulmonary TB | 3, Pulmonary & extra pulmonary TB | 89, Unsure",,,,,,"[prev_tb] = '1'",,,,,,
prev_tb_xpulm_sites,tb_history,,checkbox,"Extrapulmonary sites involved","1, Abdominal | 2, Bone/joint | 3, CNS Tuberculoma/s | 4, Meningitis | 5, Pericardial | 6, Peripheral nodes | 7, Pleural effusion | 8, Spinal | 99, Other",,,,,,"[site_prev_tb(2)] = '1' or [site_prev_tb(3)] = '1'",,,,,,
prev_tb_xtrapulm_site_other,tb_history,,text,"State other extrapulmonary site",,,,,,,"[prev_tb_xpulm_sites(99)] = '1'",,,,,,
rif_resistant_ep,tb_history,,radio,"Were any of these episodes rifampicin resistant TB?","1, Yes | 0, No | 97, Not applicable | 98, Unknown",,,,,,,,,,tb_history,,
tb_rx_complete,tb_history,,radio,"Did you complete TB treatment of last TB episode?","1, Yes | 0, No | 97, Not applicable | 98, Unknown",,,,,,,,,,tb_history,,
prev_tb_treatment,tb_history,,checkbox,"Previous TB episode treatment","1, Amikacin | 2, Bedaqualine | 3, Capreomycin | 4, Carbapenem (Imi/Mero) | 5, Clofazimine | 6, Cycloserine | 7, Delamanid | 8, Ethambutol | 9, Ethionamide | 10, Gatifloxacin | 11, Isoniasid | 12, Kanamycin | 13, Levofloxacin | 14, Linezolid | 15, Moxifloxacin | 16, Ofloxacin | 17, PAS | 18, Prothionamide | 19, Pyrazinamide | 20, Rifabutin | 21, Rifampicin | 22, Streptomycin | 23, Terizadone | 99, Other (specify) | 96, None",,,,,,,,,,,,
prev_tb_rx_other,tb_history,,text,"State other therapy taken",,,,,,,"[prev_tb_treatment(99)] = '1'",,,,,,
date_prev_tb_rx_completed,tb_history,,text,"When did you complete treatment for last TB episode?",,,date_dmy,,,,"[tb_rx_complete] = '1'",,,,,,
ever_preventive_therapy,tb_history,,yesno,"Has the participant ever previously taken preventive therapy?",,,,,,,,,,,,,
preventative_therapy_duration,tb_history,,text,"Duration of preventive treatment
",,,integer,0,24,,"[prev_tb] = '1'",,,,,,
prev_tb_outcome,tb_history,,dropdown,"Outcome of episode","1, Cured/Completed treatment | 2, Defaulted treatment | 3, Treatment failure | 89, Unsure",,,,,,"[prev_tb] = '1'",,,,,,
details_prev_tb_ep,tb_history,,notes,"Details of previous TB episode",,,,,,,,,LV,,,,
